bstopnm,geometry,ADM_NM
영선위교차로,POINT (129.0424416667 35.085475),영선2동
영선위교차로,POINT (129.042137034013 35.084775322838),영선2동
영선위교차로,POINT (129.042870469825 35.085321136063),신선동
부산보건고,POINT (129.04135 35.08302),영선2동
부산보건고,POINT (129.0413366667 35.08211),영선2동
흰여울문화마을,POINT (129.044193783218 35.079581537656),영선2동
흰여울문화마을,POINT (129.044602886034 35.079661160673),영선2동
흰여울문화마을,POINT (129.044396840343 35.080144673278),영선2동
흰여울문화마을,POINT (129.04404603645 35.080166257603),영선2동
신선중학교,POINT (129.0448016667 35.0815266667),신선동
신선중학교,POINT (129.044875784698 35.082343415547),신선동
신선동주민센터,POINT (129.045384710598 35.083369399733),신선동
신선동주민센터,POINT (129.045304043763 35.083870893884),신선동
남도여중,POINT (129.046145 35.08609),신선동
남도여중,POINT (129.0463633333 35.0865783333),신선동
삼거리이용원,POINT (129.0489533333 35.0915666667),봉래2동
외나무약국,POINT (129.046955 35.08824),신선동
외나무약국,POINT (129.0472433333 35.0887666667),신선동
영도배수지,POINT (129.04797 35.09044),신선동
영도배수지,POINT (129.04819 35.090825),신선동
센트럴에일린의뜰,POINT (129.04952 35.0922366667),봉래2동
센트럴에일린의뜰,POINT (129.0500916667 35.092735),봉래2동
대교사거리,POINT (129.039220651682 35.091687649844),남항동
봉래2동마을건강센터,POINT (129.052765 35.0937516667),봉래2동
봉래2동마을건강센터,POINT (129.05293 35.09382),봉래2동
영월사,POINT (129.0544516667 35.0940116667),봉래2동
영월사,POINT (129.05462 35.0940066667),청학1동
청학고개,POINT (129.05663 35.09405),청학1동
교통순찰대.센트럴에일린의뜰,POINT (129.046431690186 35.093660733793),봉래2동
교통순찰대.센트럴에일린의뜰,POINT (129.045975766319 35.093754765299),봉래2동
한성맨션,POINT (129.050764642987 35.094993744404),봉래2동
한성맨션,POINT (129.0500233333 35.0945483333),봉래2동
HJ중공업,POINT (129.0536566667 35.0960383333),청학1동
봉학초등학교,POINT (129.05356114847 35.095644168852),청학1동
SK부산저유소,POINT (129.055611276354 35.097970478571),청학1동
신도브래뉴아파트,POINT (129.055467565933 35.09727769975),청학1동
청학시장,POINT (129.0598766667 35.09721),청학1동
