관리번호,대로별,설치장소,전자운영,설치일자,형태,구군,주소,위도,경도,데이터기준일자
15151, ,다대항배후도로, , ,교차로,사상구,사상구 삼락동 695-1,35.16593341,128.9758399,2023-07-25
15152,백양대로,신화빌라, , ,단일로,사상구,사상구 백양대로 507,35.15390063,128.9967358,2023-07-25
15154, ,북부산세무소신축, , ,교차로,사상구,사상구 학감대로 260,35.15421889,128.9909117,2023-07-25
15155, ,신라중학교 진입로, , ,교차로,사상구,사상구 덕포동 77-6,35.16919323,128.9906545,2023-07-25
15156, ,경동메르빌 201동, , ,교차로,사상구,사상구 덕포동 54-7,35.17081286,128.9899058,2023-07-25
15158,백양대로,감전LH아파트, , ,교차로,사상구,사상구 감전동 산 14,35.15652473,128.994419,2023-07-25
15191, ,정관 방곡중앙중학교, , ,단일로,기장군,기장군 정관읍 정관덕산길 61,35.32293273,129.1867111,2023-07-25
15192, ,방곡초등학교 뒷편, , ,교차로,기장군,기장군 정관읍 방곡리 404,35.32316449,129.1878912,2023-07-25
15193, ,장안임랑간1-2지점(대성마트), , ,단일로,기장군,기장군 장안읍 좌천리 265-20,35.31623167,129.2435446,2023-07-25
15195, ,오시리아 관광단지 단지내 4지점(오시리아역 입구), , ,교차로,기장군,기장군 기장읍 당사리 139-1,35.19468727,129.2093824,2023-07-25
15196, ,오시리아관광단지내 4-2지점, , ,교차로,기장군,기장군 기장읍 당사리 262-1,35.1955731,129.2082316,2023-07-25
15197, ,오시리아 관광단지 단지내 5지점, , ,교차로,기장군,기장군 기장읍 당사리 298-1,35.19293763,129.2076764,2023-07-25
15198, ,연화리 ART ZONE, , ,교차로,기장군,기장군 기장해안로 504,35.21888365,129.225141,2023-07-25
15199, ,기장빕스모텔, , ,교차로,기장군,기장군 기장읍 대변리 281-4,35.22071346,129.226915,2023-07-25
15244, ,대변항입구, , ,교차로,기장군,기장군 기장읍 대변리 452,35.22400985,129.2262836,2023-07-25
15245, ,서전그린비치아파트, , ,교차로,기장군,기장군 기장읍 무양로 16,35.22545761,129.2257342,2023-07-25
