구군명,위반일자,위반장소명
강서구,2023-02-05 13:29,명지동 3237-4
강서구,2023-02-05 14:14,글로벌새싹어린이집 인근
강서구,2023-02-05 14:19,사구마을버스정류소
강서구,2023-02-05 14:22,명지초등학교사거리인근
강서구,2023-02-05 14:38,꿈바위 어린이집인근
강서구,2023-02-05 14:47,국내선2층
강서구,2023-02-05 14:48,명지동 3272
강서구,2023-02-05 14:50,명지동 3274
강서구,2023-02-05 14:50,명지동 3274
강서구,2023-02-05 14:50,명지동 3274
강서구,2023-02-05 14:50,명지동 3274
강서구,2023-02-05 14:50,명지동 3272
강서구,2023-02-05 14:54,글로벌새싹어린이집 인근
강서구,2023-02-05 14:54,명지동 3247
강서구,2023-02-05 14:56,명지동 3290
강서구,2023-02-05 15:00,명지동 3294
강서구,2023-02-05 15:02,명지동 3246
강서구,2023-02-05 15:02,명지동 3295
강서구,2023-02-05 15:02,명지동 3290
강서구,2023-02-05 15:05,명지동 3295
강서구,2023-02-05 15:06,명지동 3297
강서구,2023-02-05 15:08,노블랜드오션뷰104동주변
강서구,2023-02-05 15:08,명지동 3247-1
강서구,2023-02-05 15:10,명지동 3291
강서구,2023-02-05 15:10,명지동 3247
강서구,2023-02-05 15:15,녹명초등학교 정문앞
강서구,2023-02-05 15:17,명지동 3291
강서구,2023-02-05 15:18,명지동 3291
강서구,2023-02-05 15:18,명지동 3295
강서구,2023-02-05 15:19,금강펜테리움 2차 교차로
강서구,2023-02-05 15:26,명지동 3231
강서구,2023-02-05 15:27,명지동 3275
강서구,2023-03-16 15:26,노블랜드오션뷰104동주변
강서구,2023-03-16 15:28,마음마을 주변
강서구,2023-01-09 10:02,한솔학교사거리인근
강서구,2023-01-09 10:12,녹산초등학교인근
강서구,2023-01-09 10:15,명지동 3282
강서구,2023-01-09 10:16,명지동 3231
강서구,2023-01-09 10:16,명지동 3275
강서구,2023-01-09 10:17,명지동 3274
강서구,2023-01-09 10:17,명지동 3274
강서구,2023-01-09 10:18,명지동 3274
강서구,2023-01-09 10:18,명지동 3274
강서구,2023-01-09 10:18,명지동 3274
강서구,2023-01-09 10:18,명지동 3274
강서구,2023-01-09 10:18,명지동 3274
강서구,2023-01-09 10:25,글로벌새싹어린이집 인근
강서구,2023-01-09 10:32,명지동 3268
강서구,2023-01-09 10:32,명지동 3268
강서구,2023-01-09 10:32,명지동 3268
강서구,2023-01-09 10:33,국내선1층
강서구,2023-01-09 10:33,명지동 3268
강서구,2023-01-09 10:33,명지동 3268
강서구,2023-01-09 10:33,명지동 3268
강서구,2023-01-09 10:33,명지동 3268
강서구,2023-01-09 10:33,명지동 3268
강서구,2023-01-09 10:34,명지동 3268
강서구,2023-01-09 10:34,명지동 3227-2
강서구,2023-01-09 10:34,명지동 3268
강서구,2023-01-09 10:34,명지동 3227-2
강서구,2023-01-09 10:34,명지동 3268
강서구,2023-01-09 10:34,명지동 3227-2
강서구,2023-01-09 10:34,명지동 3227-2
강서구,2023-01-09 10:34,명지동 3227-2
