위반일자,위반일시,위반장소명
2024-01-17 09:56,청학동 해양로,
2024-01-17 09:56,청학동 해양로,
2024-01-17 10:00,봉래동5가 봉래쉼터길,
2024-01-17 10:00,봉래동5가 봉래쉼터길,
2024-01-17 10:00,봉래동5가 봉래쉼터길,
2024-01-17 10:01,봉래동5가 태종로,
2024-01-17 10:02,청학동 맛자랑길,
2024-01-17 10:02,청학동 맛자랑길,
2024-01-17 10:02,청학동 맛자랑길,
2024-01-17 10:02,청학동 맛자랑길,
2024-01-17 10:02,청학동 청명길,
2024-01-17 10:02,청학동 청명길,
2024-01-17 10:02,청학동 청명길,
2024-01-17 10:03,청학동 청명길,
2024-01-17 10:16,청학동 청학로,
2024-01-17 10:19,청학동 청학동로,
2024-01-17 10:21,청학동 청학남로,
2024-01-17 10:22,청학동 청학남로,
2024-01-17 10:22,청학동 청학남로13번길,
2024-01-17 10:22,청학동 청학남로13번길,
2024-01-17 10:23,청학동 청학남로13번길,
2024-01-17 10:23,청학동 청학로35번길,
2024-01-17 10:23,청학동 청학로35번길,
2024-01-17 10:23,청학동 청학로35번길,
2024-01-17 10:23,청학동 청학로35번길,
2024-01-17 10:12,봉래동3가 절영로7번길,
2024-01-17 10:13,영선동1가 태종로113번길,
2024-01-17 10:18,대교동2가 태종로89번길,
2024-01-17 10:27,남항동2가 남항로10번길,
2024-01-17 10:27,남항동2가 남항남로9번길,
2024-01-17 10:48,봉래동2가 태종로99번길,
2024-01-17 10:48,봉래동3가 절영로13번길,
2024-01-17 14:15,대평동2가 대평로,
2024-01-17 14:18,대평동1가 대평로,
2024-01-17 14:21,남항동2가 남항로16번길,
2024-01-17 14:21,남항동2가 남항로16번길,
2024-01-17 14:21,남항동2가 남항로,
2024-01-17 14:21,남항동2가 남항로,
2024-01-17 14:21,남항동2가 남항로,
2024-01-17 14:21,남항동2가 남항서로,
