year,month,day,hour,value
2021,1, 31,100.0,10.9
2021,1, 31,200.0,12.8
2021,1, 31,300.0,12.6
2021,1, 31,400.0,12.8
2021,1, 31,500.0,12.2
2021,1, 31,600.0,11.5
2021,1, 31,700.0,10.2
2021,1, 31,800.0,8.9
2021,1, 31,900.0,8.2
2021,1, 31,1000.0,8.0
2021,1, 31,1100.0,10.6
2021,1, 31,1200.0,11.1
2021,1, 31,1300.0,11.5
2021,1, 31,1400.0,11.9
2021,1, 31,1500.0,11.8
2021,1, 31,1600.0,11.2
2021,1, 31,1700.0,10.8
2021,1, 31,1800.0,11.2
2021,1, 31,1900.0,12.0
2021,1, 31,2000.0,12.0
2021,1, 31,2100.0,11.9
2021,1, 31,2200.0,11.3
2021,1, 31,2300.0,10.9
2021,2, 1,0.0,10.7
2021,2, 1,100.0,10.6
2021,2, 1,200.0,10.6
2021,2, 1,300.0,10.7
2021,2, 1,400.0,10.2
2021,2, 1,500.0,9.4
2021,2, 1,600.0,9.2
2021,2, 1,700.0,9.0
2021,2, 1,800.0,8.9
2021,2, 1,900.0,8.7
2021,2, 1,1000.0,8.7
2021,2, 1,1100.0,8.7
2021,2, 1,1200.0,8.8
2021,2, 1,1300.0,8.7
2021,2, 1,1400.0,8.4
2021,2, 1,1500.0,8.1
2021,2, 1,1600.0,6.9
2021,2, 1,1700.0,6.0
2021,2, 1,1800.0,5.4
2021,2, 1,1900.0,4.5
2021,2, 1,2000.0,3.2
2021,2, 1,2100.0,1.4
2021,2, 1,2200.0,0.7
2021,2, 1,2300.0,0.8
2021,2, 2,0.0,1.7
2021,2, 2,100.0,2.6
2021,2, 2,200.0,3.2
2021,2, 2,300.0,4.2
2021,2, 2,400.0,4.3
2021,2, 2,500.0,4.7
2021,2, 2,600.0,5.0
2021,2, 2,700.0,4.4
2021,2, 2,800.0,2.2
2021,2, 2,900.0,1.4
2021,2, 2,1000.0,0.3
2021,2, 2,1100.0,-0.6
2021,2, 2,1200.0,-1.4
2021,2, 2,1300.0,-1.9
2021,2, 2,1400.0,-1.9
2021,2, 2,1500.0,-1.7
2021,2, 2,1600.0,-1.3
2021,2, 2,1700.0,-1.2
2021,2, 2,1800.0,-1.3
2021,2, 2,1900.0,-2.2
2021,2, 2,2000.0,-2.7
2021,2, 2,2100.0,-3.1
2021,2, 2,2200.0,-2.7
2021,2, 2,2300.0,-2.1
2021,2, 3,0.0,-0.6
2021,2, 3,100.0,1.0
2021,2, 3,200.0,1.6
2021,2, 3,300.0,3.2
2021,2, 3,400.0,4.2
2021,2, 3,500.0,3.8
2021,2, 3,600.0,4.2
2021,2, 3,700.0,3.7
2021,2, 3,800.0,2.5
2021,2, 3,900.0,2.0
2021,2, 3,1000.0,2.3
2021,2, 3,1100.0,1.8
2021,2, 3,1200.0,2.2
2021,2, 3,1300.0,1.8
2021,2, 3,1400.0,2.4
2021,2, 3,1500.0,2.5
2021,2, 3,1600.0,3.4
2021,2, 3,1700.0,3.5
2021,2, 3,1800.0,4.1
2021,2, 3,1900.0,2.9
2021,2, 3,2000.0,3.6
2021,2, 3,2100.0,3.4
2021,2, 3,2200.0,2.9
2021,2, 3,2300.0,4.2
2021,2, 4,0.0,4.7
2021,2, 4,100.0,5.8
2021,2, 4,200.0,7.3
2021,2, 4,300.0,7.5
2021,2, 4,400.0,8.5
2021,2, 4,500.0,8.9
2021,2, 4,600.0,9.0
2021,2, 4,700.0,8.5
2021,2, 4,800.0,6.3
2021,2, 4,900.0,5.3
