읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교통사고 건수,음주운전 적발 건수
주례1동,7053,16182,13,30,45,4.24,4.06
주례2동,7648,22192,5,44,60,5.81,5.57
주례3동,4579,12643,7,31,35,3.31,3.18
중1동,11506,27477,43,136,36,6.41,5.55
중2동,6797,15516,4,50,44,3.62,3.13
중앙동,29520,3137,9,89,22,0.49,0.28
철마면,3859,7735,13,48,91,2.44,2.57
청룡노포동,4464,9689,16,30,39,1.2,1.39
청학1동,2617,5790,8,13,20,0.46,0.69
청학2동,5804,17317,19,35,62,1.37,2.06
초량1동,16856,4934,2,21,0,0.51,0.23
초량2동,3235,5511,2,39,14,0.57,0.26
초량3동,5764,12983,14,60,26,1.34,0.6
초량6동,2806,5609,2,8,14,0.58,0.26
초읍동,7327,21177,17,82,55,7.01,2.98
초장동,794,4072,1,2,8,0.48,0.34
충무동,2700,9718,15,38,15,1.14,0.81
하단1동,8156,21541,25,49,17,6.08,3
하단2동,8485,25252,21,101,41,7.13,3.51
학장동,12311,27425,34,50,63,7.18,6.89
화명1동,18426,40555,11,32,32,13.56,7.36
화명2동,6674,17512,11,33,50,5.86,3.18
화명3동,11584,28938,60,93,22,9.68,5.25
가덕도동,2722,4329,4,69,88,1.37,0.8
가락동,2094,2171,33,37,57,0.69,0.4
가야1동,4947,16795,9,182,13,4.06,2.45
가야2동,6293,18298,1,172,18,4.42,2.67
감만1동,6466,8713,12,48,40,1.12,1.17
감만2동,1893,6538,7,35,19,0.84,0.88
감전동,11157,12193,54,265,52,2.87,3.03
감천1동,6340,17190,1,158,44,3.99,2.49
감천2동,1440,5368,3,44,13,1.25,0.78
강동동,2931,3896,13,62,86,1.23,0.72
개금1동,6154,18235,15,279,27,4.4,2.66
개금2동,3237,10162,19,51,17,2.45,1.49
개금3동,9334,26999,23,115,42,6.52,3.95
거제1동,37504,28056,35,215,35,2.19,2.21
거제2동,9829,16014,16,85,50,1.25,1.26
거제3동,3587,9429,11,173,13,0.74,0.74
거제4동,5653,9695,4,18,15,0.76,0.77
광복동,307,974,0,125,0,0.01,0.09
광안1동,65635,25403,5,274,16,5.78,4.15
광안2동,9125,18483,26,318,20,4.21,3.02
광안3동,4287,9423,6,220,20,2.15,1.54
광안4동,4379,13362,0,92,14,3.04,2.18
괘법동,9653,24359,27,512,37,5.74,6.06
괴정1동,5921,18155,8,178,25,4.21,2.63
괴정2동,4877,15185,15,67,21,3.52,2.2
괴정3동,3236,11607,17,143,15,2.69,1.68
괴정4동,5160,15179,25,95,16,3.52,2.2
구서1동,8977,18844,13,258,36,2.81,2.68
구서2동,12408,31311,0,197,34,4.66,4.45
구평동,6620,12433,27,62,74,2.88,1.8
구포1동,6249,15521,6,318,27,4.27,2.55
구포2동,8955,23761,44,156,40,6.53,3.91
구포3동,12691,18300,11,140,33,5.03,3.01
금곡동,12691,35750,11,149,62,9.83,5.88
금사회동동,5768,7283,8,126,52,1.08,1.03
금성동,470,937,0,87,24,0.14,0.13
기장읍,24068,52152,82,926,222,12.88,16.89
남부민1동,1411,4524,4,32,13,0.43,0.35
남부민2동,2020,8067,25,43,17,0.76,0.62
남산동,10456,26680,22,339,54,3.97,3.79
남천1동,7286,16133,13,347,30,3.67,2.63
남천2동,5681,13475,10,104,10,3.07,2.2
남포동,418,915,4,275,15,0.01,0.09
남항동,3523,10323,9,321,44,0.94,1.1
녹산동,27941,34878,330,566,428,11.03,6.42
다대1동,15024,36703,4,381,93,8.51,5.31
다대2동,9284,25818,31,186,40,5.99,3.74
당감1동,7007,21443,19,225,32,5.18,3.13
당감2동,3821,11301,14,49,4,2.73,1.65
당감4동,3719,10621,8,130,34,2.57,1.55
당리동,8790,24363,21,281,43,5.65,3.53
대연1동,5600,15323,12,249,30,1.96,2.06
대연3동,11922,32941,5,644,66,4.22,4.42
대연4동,4696,13475,9,94,42,1.73,1.81
대연5동,5084,16637,44,187,29,2.13,2.23
대연6동,5634,14746,8,68,29,1.89,1.98
대저1동,6316,5938,35,130,123,1.88,1.09
대저2동,9092,6644,52,164,119,2.1,1.22
대청동,1355,6252,10,66,17,0.07,0.59
덕천1동,4386,12350,6,162,30,3.4,2.03
덕천2동,3582,11243,21,354,30,3.09,1.85
덕천3동,2923,10088,14,50,17,2.77,1.66
덕포1동,4837,11518,9,144,20,2.71,2.86
덕포2동,4933,12155,17,131,30,2.87,3.02
동광동,736,2675,2,65,6,0.03,0.25
동대신1동,1544,5307,8,54,10,0.5,0.4
동대신2동,1872,6737,8,69,19,0.64,0.51
동대신3동,2031,7368,5,104,32,0.7,0.56
동삼1동,9299,27848,7,251,91,2.54,2.96
동삼2동,1771,4954,22,80,18,0.45,0.53
동삼3동,2142,8923,15,29,37,0.81,0.95
만덕1동,6843,16344,10,66,27,4.49,2.69
만덕2동,10344,26556,27,163,56,7.3,4.37
만덕3동,6762,17719,76,103,25,4.87,2.91
망미1동,9038,26365,9,182,49,6,4.3
망미2동,3872,10074,18,89,30,2.29,1.64
명륜동,10415,26450,9,402,52,4.09,2.51
명장1동,4849,13500,16,148,31,2.13,1.31
명장2동,4684,13939,43,64,44,2.03,1.25
명지1동,25921,54376,31,790,126,17.19,10
명지2동,14109,30164,58,289,64,9.54,5.55
모라1동,10622,26390,27,323,55,6.22,6.56
모라3동,2203,9327,6,21,20,2.2,2.32
문현1동,5921,10993,5,77,17,1.41,1.48
문현2동,2613,7916,10,117,20,1.01,1.06
문현3동,5718,16395,14,113,13,2.1,2.2
문현4동,3352,8880,17,85,35,1.14,1.19
민락동,11434,27766,31,571,29,6.32,4.53
반송1동,4387,12643,46,173,46,3.42,2.45
반송2동,6751,21555,12,154,25,5.84,4.17
반여1동,16049,34446,2,270,70,9.33,6.67
반여2동,5526,11732,7,120,16,3.18,2.27
반여3동,2134,7853,20,69,2,2.13,1.52
반여4동,6324,14870,12,23,32,4.03,2.88
범일1동,4152,10971,18,80,42,0.87,0.46
범일2동,2609,7509,10,300,28,0.59,0.32
범일5동,3769,8496,22,20,22,0.67,0.36
범천1동,4080,12225,22,233,16,2.95,1.79
범천2동,7134,21696,9,78,28,5.24,3.17
보수동,2375,10521,27,87,30,0.11,1
복산동,2736,8586,18,100,32,2.24,1.37
봉래1동,1947,6279,8,111,14,0.57,0.67
봉래2동,2364,7370,19,12,26,0.67,0.78
부곡1동,2954,7663,10,75,14,1.14,1.09
부곡2동,6376,17142,7,98,13,2.55,2.44
부곡3동,6249,15050,9,169,53,2.24,2.14
부곡4동,3805,11955,10,101,17,1.78,1.7
부민동,1984,7358,4,117,14,0.7,0.56
부암1동,8748,23462,14,109,36,5.67,3.43
부암3동,5948,16539,3,117,31,3.99,2.42
부전1동,34587,15712,17,524,52,3.79,2.3
부전2동,5575,11886,16,753,26,2.87,1.74
부평동,981,4511,14,379,6,0.05,0.43
사직1동,3854,10113,12,196,24,2.64,1.62
사직2동,9865,25140,22,215,56,6.4,3.94
사직3동,5717,17057,31,180,26,5.02,3.09
삼락동,2946,5240,16,110,38,1.24,1.3
서1동,1477,4637,3,29,10,0.69,0.66
서2동,2545,8513,6,75,15,1.27,1.21
서3동,3049,10387,9,181,17,1.55,1.48
서대신1동,4777,14903,13,115,31,1.41,1.14
서대신3동,2523,7507,6,52,24,0.71,0.57
서대신4동,2438,7214,12,67,26,0.68,0.55
선두구동,1529,2117,0,61,42,0.32,0.3
송정동,4155,9354,9,206,28,2.53,1.81
수민동,11632,30925,13,246,39,7.36,4.53
수영동,4690,14034,12,257,21,3.2,2.29
수정1동,1360,3951,3,37,6,0.31,0.17
수정2동,2639,9135,3,224,34,0.72,0.39
수정4동,830,3550,2,15,14,0.28,0.15
수정5동,1138,4822,5,9,27,0.38,0.2
신선동,1606,7366,1,21,47,0.67,0.78
신평1동,7605,15770,29,168,30,3.66,2.28
신평2동,7579,17304,24,131,35,4.01,2.51
아미동,1579,6389,1,48,51,0.6,0.49
안락1동,5731,13684,7,255,27,2.46,1.51
